search_term,text,resulting_sentiment
term 3,@NiroWho ,Neutral
term 3, 3.2 PTR possibly this week. That makes me a sad panda. I spent 4k gold total to level my enchanting and I won't be able to farm titanium.,Negative
term 3,aye woke up extremely hungry what should i have for breakfast good morning tweeties,Positive
term 3,The Real World: Brooklyn ,Neutral
term 3,getting ready for work :-/ 7 - 11 is looking like hell for me .. hwever i shall focus on the money . as i am extremely skint ..   eurgh,Negative
term 3,this is so cute i was in kindergarden,Positive
term 3,#SteveJobs will be a crucial witness against #Apple in an #iPod antitrust suit via @BGR #aapl  http://t.co/BBH9g0TUyM,Neutral
term 3,My phone battery is empty ,Negative
term 3,@chrkuhl28 lol.  i'm so bored.  i have no more school work and i don't have any shows to catch up with on the internet.  ,Negative
term 3,i m currently walking to work no british gp for me,Negative
term 3,lol it s a funny typo though,Positive
term 3,test post from iphone.  http://yfrog.com/58tz5j,Neutral
term 3,@BeaMarqz DUDE.  #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection,Neutral
term 3,you just made one for h_e by doing that,Neutral
term 3,Ferry from cowes 2 so'ton! Hols ova... ,Neutral
term 3,why that face it s so scawy,Neutral
term 3,my arm really hurts ,Negative
term 3,"@wallynywall that's awesome  and, I'm sorry but she really doesn't. I'm sorry for asking but you have no picture you're a boy right?",Negative
term 3,thanks let s see how it goes,Positive
term 3,is sad i have a spider bite i m such a baby lol,Negative
term 3,Sakit perut . Lg rhat d tjng sari. Uh cape.a ,Neutral
term 3,@ChaseNCashe Ahhhh...the best side....I miss home ,Positive
term 3,absolutely i follow everybody who follows me i have an open door policy don t be shy tweeps,Negative
term 3,I am not looking forward to tomorrow we got school  boo-then on wedneday we got maths test! nooo tweet tweet,Neutral
term 3,i always stayed at home when my were little now there at school i work there amp am always off when they are it s great,Positive
term 3,The lead singer of iron maiden is playing here tonight so there's lots of weirdos. qld is winning though ,Positive
term 3,in lakewood,Neutral
term 3,enjoy the club,Positive
term 3,"HH debuted at #193 in the UK, and the video is being played a lot on 4music, so keep it locked on that channel to see it! ",Positive
term 3,and i had garbanzo beans another reason why i hate being at work thanks ellen,Negative
term 3,thnks sometimes solutions too simple to see right away huh ps did i miss you at pdxcc,Neutral
term 3,"That was an amazing race! So happy for Vettel and Webber, but also heartbroken for Sutil and Nick. Poor Nick  #f1",Negative
term 3,"@darkmagess Probably.  It's from an armed forces upbringing, I speak military English.",Neutral
term 3,that s really common im sure boral hamilton is rarer,Positive
term 3,okay my tooth just got worse arrgghh,Negative
term 3,won the bball camp championship week went by too fast,Positive
term 3,taking a shower x no picture for ya gt see ya in a bit,Neutral
term 3, disneyland fireworks!,Neutral
term 3,It's monday and I have a sore throat ,Negative
term 3,lovely i just got sick i just wanna go home and go to bed,Positive
term 3,Is banging his head against the wall with his dreamweaver template - can't get it to hide my optional editable region ,Negative
term 3,you rock having an attitude of gratitude thank you for being a part of twitter,Positive
term 3,"@John1954Moi - peanut cookies are one of my favs  reminds me of my old church, they were the fi... - [Re:] http://mobypicture.com/?04xdxc",Neutral
term 3,i mean,Neutral
term 3,"@bryantunderwood mike's playing drums, right?  ",Positive
term 3,"boring... only music there,,, nothing else  http://bit.ly/I7Y7W",Neutral
term 3,WTF stupid emergency warning on tv interrupted jimmy fallon ,Negative
term 3,bummer cam not working on cam com,Negative
term 3,wondering what happened to the weekend,Neutral
term 3,Me: I didn't even watch the 1st transformer. Jenn: WHAT!? I HATE YOU. Becks: what.. CAN YOU GO RENT IT!!! I'm missing out ,Negative
term 3,Remembering my loved ones and friends with cancer at luminaria ceremony!  I love and miss those who I lost ,Positive
term 3,"@squarespaceSTFU But, it's hip to be square. ",Neutral
term 3,@fudgecrumpet has decided to spend his week off in bed and not with me ,Neutral
term 3,too much on my mind. i can't sleep. coming home to reality is really killing me ,Negative
term 3,About to fall asleep. Upset that i couldn't take carl out in the jogging stroller because of all this rain ,Negative
term 3,central park is in nyc,Neutral
term 3,@shelllbie aw! I love you too babe ,Positive
term 3,rblpnBro @dhair Not quite where I need to be here ... sad but true. Soon however all will be WELL  6wks ? http://blip.fm/~5z4ve,Positive
term 3,superwoman with oven mitts you rock,Neutral
term 3,the belly dancers hookah music the sitting on pillows in a cute lil booth but dnt worry we won t invite u nxt weekend,Positive
term 3,coffee everytime dude,Neutral
term 3,http://bit.ly/v5XGy  @itamarw it's a beauty! wonder if there are real interface improvements too? might have to forego android device  ...,Positive
term 3,@AlexisTai please don't roll your eyes. I can't handle that.  *cries*,Positive
term 3,ummm yawning i forgot it which my bike is still in station s parking i ll be school later                 ,Neutral
term 3,i m a born again tweeter,Neutral
term 3,@hotpatooties try old ladies claw like Phoebe from friends...much easier I reckon ,Positive
term 3,@DonnieWahlberg so i had to pawn my camera for gas money so i had to send in my release without a pic.am i disqualified?(please say no) ,Neutral
term 3,yes mam we do,Positive
term 3,@ashleytisdale You should come play in New Zealand.. ,Positive
term 3,listening to my 5yr old tell me all about his boat trip today around the venice lagoon ,Neutral
term 3,@WhoooshB Thanks Aron! ,Positive
term 3,"Oh godd, i dont think i felt so sick in my lifee  Never drinkking again.",Negative
term 3,well i m slow as shyt with my asthma and leftover swine flu so guess i ll give you a call from my cell,Negative
term 3,is going to go buy chocolate because she's so damn depressed about the fridge. I don't want to cancel housewarming party ,Negative
term 3,off to work. ,Neutral
